key,value,timestamp,topic,partition,offset
b'BTC/EUR',"{""pair"": ""BTC/EUR"", ""price"": 96115.4, ""volume"": 0.1607719, ""timestamp"": ""2024-12-11T17:14:47.459692Z"", ""timestamp_ms"": 1733937287459}",1733937287448,trades,0,91895
b'BTC/EUR',"{""pair"": ""BTC/EUR"", ""price"": 96115.4, ""volume"": 0.00201918, ""timestamp"": ""2024-12-11T17:14:47.731851Z"", ""timestamp_ms"": 1733937287731}",1733937287719,trades,0,91896
b'BTC/EUR',"{""pair"": ""BTC/EUR"", ""price"": 96124.9, ""volume"": 0.00772851, ""timestamp"": ""2024-12-11T17:14:47.731851Z"", ""timestamp_ms"": 1733937287731}",1733937287720,trades,0,91897
b'BTC/EUR',"{""pair"": ""BTC/EUR"", ""price"": 96116.9, ""volume"": 0.00121181, ""timestamp"": ""2024-12-11T17:14:48.503617Z"", ""timestamp_ms"": 1733937288503}",1733937288493,trades,0,91898
b'BTC/USD',"{""pair"": ""BTC/USD"", ""price"": 100984.0, ""volume"": 0.00021602, ""timestamp"": ""2024-12-11T17:14:50.490315Z"", ""timestamp_ms"": 1733937290490}",1733937290474,trades,0,91899
b'ETH/EUR',"{""pair"": ""ETH/EUR"", ""price"": 3630.01, ""volume"": 0.01283187, ""timestamp"": ""2024-12-11T17:14:51.689448Z"", ""timestamp_ms"": 1733937291689}",1733937291676,trades,0,91900
b'ETH/EUR',"{""pair"": ""ETH/EUR"", ""price"": 3630.01, ""volume"": 0.01234894, ""timestamp"": ""2024-12-11T17:14:51.770711Z"", ""timestamp_ms"": 1733937291770}",1733937291754,trades,0,91901
b'BTC/EUR',"{""pair"": ""BTC/EUR"", ""price"": 96113.3, ""volume"": 0.02054002, ""timestamp"": ""2024-12-11T17:14:52.067864Z"", ""timestamp_ms"": 1733937292067}",1733937292056,trades,0,91902
b'BTC/EUR',"{""pair"": ""BTC/EUR"", ""price"": 96112.6, ""volume"": 0.01063254, ""timestamp"": ""2024-12-11T17:14:52.067864Z"", ""timestamp_ms"": 1733937292067}",1733937292057,trades,0,91903
b'BTC/EUR',"{""pair"": ""BTC/EUR"", ""price"": 96111.9, ""volume"": 0.22920613, ""timestamp"": ""2024-12-11T17:14:52.067864Z"", ""timestamp_ms"": 1733937292067}",1733937292058,trades,0,91904
b'BTC/USD',"{""pair"": ""BTC/USD"", ""price"": 100983.9, ""volume"": 0.00769429, ""timestamp"": ""2024-12-11T17:14:52.161783Z"", ""timestamp_ms"": 1733937292161}",1733937292152,trades,0,91905
b'ETH/EUR',"{""pair"": ""ETH/EUR"", ""price"": 3630.01, ""volume"": 0.04305247, ""timestamp"": ""2024-12-11T17:14:52.831352Z"", ""timestamp_ms"": 1733937292831}",1733937292854,trades,0,91906
b'BTC/USD',"{""pair"": ""BTC/USD"", ""price"": 100984.0, ""volume"": 9.052e-05, ""timestamp"": ""2024-12-11T17:14:53.599776Z"", ""timestamp_ms"": 1733937293599}",1733937293692,trades,0,91907
b'ETH/USD',"{""pair"": ""ETH/USD"", ""price"": 3811.47, ""volume"": 0.14064637, ""timestamp"": ""2024-12-11T17:14:54.591002Z"", ""timestamp_ms"": 1733937294591}",1733937294576,trades,0,91908
b'ETH/EUR',"{""pair"": ""ETH/EUR"", ""price"": 3630.0, ""volume"": 0.05184175, ""timestamp"": ""2024-12-11T17:14:55.473367Z"", ""timestamp_ms"": 1733937295473}",1733937295617,trades,0,91909
b'ETH/EUR',"{""pair"": ""ETH/EUR"", ""price"": 3630.0, ""volume"": 0.002, ""timestamp"": ""2024-12-11T17:14:55.473367Z"", ""timestamp_ms"": 1733937295473}",1733937295617,trades,0,91910
b'ETH/EUR',"{""pair"": ""ETH/EUR"", ""price"": 3630.0, ""volume"": 0.02415825, ""timestamp"": ""2024-12-11T17:14:55.473367Z"", ""timestamp_ms"": 1733937295473}",1733937295618,trades,0,91911
b'ETH/EUR',"{""pair"": ""ETH/EUR"", ""price"": 3630.0, ""volume"": 0.02232659, ""timestamp"": ""2024-12-11T17:14:55.617491Z"", ""timestamp_ms"": 1733937295617}",1733937295739,trades,0,91912
b'ETH/EUR',"{""pair"": ""ETH/EUR"", ""price"": 3629.99, ""volume"": 1.20209103, ""timestamp"": ""2024-12-11T17:14:55.617491Z"", ""timestamp_ms"": 1733937295617}",1733937295740,trades,0,91913
b'ETH/EUR',"{""pair"": ""ETH/EUR"", ""price"": 3629.99, ""volume"": 0.15750719, ""timestamp"": ""2024-12-11T17:14:55.748466Z"", ""timestamp_ms"": 1733937295748}",1733937295828,trades,0,91914
b'BTC/USD',"{""pair"": ""BTC/USD"", ""price"": 100984.0, ""volume"": 0.0002005, ""timestamp"": ""2024-12-11T17:14:55.943136Z"", ""timestamp_ms"": 1733937295943}",1733937295938,trades,0,91915
b'BTC/USD',"{""pair"": ""BTC/USD"", ""price"": 100984.0, ""volume"": 0.00195988, ""timestamp"": ""2024-12-11T17:14:55.975955Z"", ""timestamp_ms"": 1733937295975}",1733937295968,trades,0,91916
b'ETH/EUR',"{""pair"": ""ETH/EUR"", ""price"": 3629.99, ""volume"": 0.0892529, ""timestamp"": ""2024-12-11T17:14:56.455532Z"", ""timestamp_ms"": 1733937296455}",1733937296441,trades,0,91917
b'BTC/EUR',"{""pair"": ""BTC/EUR"", ""price"": 96111.2, ""volume"": 0.068, ""timestamp"": ""2024-12-11T17:14:57.713578Z"", ""timestamp_ms"": 1733937297713}",1733937297770,trades,0,91918
b'BTC/EUR',"{""pair"": ""BTC/EUR"", ""price"": 96111.1, ""volume"": 0.0038, ""timestamp"": ""2024-12-11T17:14:57.713578Z"", ""timestamp_ms"": 1733937297713}",1733937297771,trades,0,91919
b'BTC/EUR',"{""pair"": ""BTC/EUR"", ""price"": 96090.0, ""volume"": 0.18870187, ""timestamp"": ""2024-12-11T17:14:57.713578Z"", ""timestamp_ms"": 1733937297713}",1733937297771,trades,0,91920
b'BTC/EUR',"{""pair"": ""BTC/EUR"", ""price"": 96090.1, ""volume"": 0.00048589, ""timestamp"": ""2024-12-11T17:14:58.409080Z"", ""timestamp_ms"": 1733937298409}",1733937298477,trades,0,91921
b'ETH/EUR',"{""pair"": ""ETH/EUR"", ""price"": 3630.0, ""volume"": 0.2, ""timestamp"": ""2024-12-11T17:14:58.723079Z"", ""timestamp_ms"": 1733937298723}",1733937298708,trades,0,91922
b'ETH/USD',"{""pair"": ""ETH/USD"", ""price"": 3811.47, ""volume"": 0.12924432, ""timestamp"": ""2024-12-11T17:14:59.057436Z"", ""timestamp_ms"": 1733937299057}",1733937299043,trades,0,91923
b'ETH/EUR',"{""pair"": ""ETH/EUR"", ""price"": 3629.99, ""volume"": 2.20144308, ""timestamp"": ""2024-12-11T17:14:59.332013Z"", ""timestamp_ms"": 1733937299332}",1733937299321,trades,0,91924
b'ETH/EUR',"{""pair"": ""ETH/EUR"", ""price"": 3629.99, ""volume"": 0.37415692, ""timestamp"": ""2024-12-11T17:14:59.332013Z"", ""timestamp_ms"": 1733937299332}",1733937299322,trades,0,91925
b'ETH/EUR',"{""pair"": ""ETH/EUR"", ""price"": 3629.99, ""volume"": 0.03700999, ""timestamp"": ""2024-12-11T17:14:59.334590Z"", ""timestamp_ms"": 1733937299334}",1733937299322,trades,0,91926
b'ETH/EUR',"{""pair"": ""ETH/EUR"", ""price"": 3629.99, ""volume"": 0.94883309, ""timestamp"": ""2024-12-11T17:14:59.334820Z"", ""timestamp_ms"": 1733937299334}",1733937299323,trades,0,91927
b'ETH/EUR',"{""pair"": ""ETH/EUR"", ""price"": 3629.9, ""volume"": 0.00201, ""timestamp"": ""2024-12-11T17:14:59.334821Z"", ""timestamp_ms"": 1733937299334}",1733937299323,trades,0,91928
b'ETH/EUR',"{""pair"": ""ETH/EUR"", ""price"": 3629.8, ""volume"": 0.00201, ""timestamp"": ""2024-12-11T17:14:59.334821Z"", ""timestamp_ms"": 1733937299334}",1733937299324,trades,0,91929
b'ETH/EUR',"{""pair"": ""ETH/EUR"", ""price"": 3629.7, ""volume"": 0.00201, ""timestamp"": ""2024-12-11T17:14:59.334821Z"", ""timestamp_ms"": 1733937299334}",1733937299324,trades,0,91930
b'ETH/EUR',"{""pair"": ""ETH/EUR"", ""price"": 3629.6, ""volume"": 0.00201, ""timestamp"": ""2024-12-11T17:14:59.334821Z"", ""timestamp_ms"": 1733937299334}",1733937299324,trades,0,91931
b'ETH/EUR',"{""pair"": ""ETH/EUR"", ""price"": 3629.54, ""volume"": 0.01005, ""timestamp"": ""2024-12-11T17:14:59.337864Z"", ""timestamp_ms"": 1733937299337}",1733937299324,trades,0,91932
b'ETH/EUR',"{""pair"": ""ETH/EUR"", ""price"": 3629.54, ""volume"": 0.00201, ""timestamp"": ""2024-12-11T17:14:59.340369Z"", ""timestamp_ms"": 1733937299340}",1733937299326,trades,0,91933
b'ETH/EUR',"{""pair"": ""ETH/EUR"", ""price"": 3629.54, ""volume"": 0.00201, ""timestamp"": ""2024-12-11T17:14:59.343761Z"", ""timestamp_ms"": 1733937299343}",1733937299327,trades,0,91934
b'ETH/EUR',"{""pair"": ""ETH/EUR"", ""price"": 3629.54, ""volume"": 0.02092999, ""timestamp"": ""2024-12-11T17:14:59.372861Z"", ""timestamp_ms"": 1733937299372}",1733937299382,trades,0,91935
b'ETH/EUR',"{""pair"": ""ETH/EUR"", ""price"": 3629.5, ""volume"": 0.00201, ""timestamp"": ""2024-12-11T17:14:59.415477Z"", ""timestamp_ms"": 1733937299415}",1733937299430,trades,0,91936
b'ETH/EUR',"{""pair"": ""ETH/EUR"", ""price"": 3629.4, ""volume"": 0.00201, ""timestamp"": ""2024-12-11T17:14:59.415477Z"", ""timestamp_ms"": 1733937299415}",1733937299431,trades,0,91937
b'ETH/EUR',"{""pair"": ""ETH/EUR"", ""price"": 3629.3, ""volume"": 0.00201, ""timestamp"": ""2024-12-11T17:14:59.637531Z"", ""timestamp_ms"": 1733937299637}",1733937299626,trades,0,91938
b'ETH/EUR',"{""pair"": ""ETH/EUR"", ""price"": 3629.2, ""volume"": 0.00201, ""timestamp"": ""2024-12-11T17:15:01.404060Z"", ""timestamp_ms"": 1733937301404}",1733937301398,trades,0,91939
